音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效=是第一个 =是第二个	音量=-=.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
64	52834	0				0	1	4			
64	53187	0				0	1	4			
64	53540	0				0	1	4		1	
384	53893	0				0	1	5			
384	54245	0				0	1	5			
384	54598	0				0	1	5			
384	54951	0				0	1	5			
128	55304	0				0	1	5			
128	55657	0				0	1	5			
128	56010	0				0	1	5			
128	56363	0				0	1	5			
256	56716	0				0	1				
256	57069	0				0	1				
256	57598	0				0	1				
320	57775	0				0	1				
384	57951	0				0	1				
320	58128	0				0	1				
256	58304	0				0	1				
192	58481	0				0	1				
128	58657	0				0	1				
256	58834	0				0	1				
256	59187	0				0	1	3		1	
384	59540	0				0	1			1	
384	59893	0				0	1				
128	60245	0				0	1			1	
128	60598	0				0	1				
384	60951	0				0	1			1	
384	61304	0				0	1				
256	61657	0				0	1			1	
128	62010	0				0	1	7	1-1		
128	62187	0				0	1	7	1-1		
128	62363	0				0	1	7	1-1	1	
128	62716	0				0	1	7	1-1		
464	63069	0				0	1			1	
464	63422	0				0	1				
256	63775	0				0	1			1	
256	64128	0				0	1				
448	64481	0				0	1			1	
256	64834	0				0	1	7	1-1		
256	65010	0				0	1	7	1-1		
256	65187	0				0	1	7	1-1	1	
80	65540	0				0	1	7	1-1		
80	65716	0				0	1	7	1-1		
80	65893	0				0	1	7	1-1	1	
80	66245	0				0	1				
224	66775	0				0	1				
320	66951	0				0	1				
416	67128	0				0	1				
224	67481	0				0	1				
320	67657	0				0	1				
416	67834	0				0	1				
224	68187	0				0	1				
320	68363	0				0	1				
416	68540	0				0	1				
352	69422	0				0	1				
288	69775	0				0	1			1	
224	70128	0				0	1				
256	70481	0				0	1	3		1	
80	70834	0				0	1				
80	71187	0				0	1				
320	71540	0				0	1			1	
320	71893	0				0	1				
64	72245	0				0	1			1	
64	72598	0				0	1				
224	72951	0				0	1			1	
384	73304	0				0	1	7	0-1		
384	73481	0				0	1	7	0-1		
384	73657	0				0	1	7	0-1	1	
384	74010	0				0	1	7	0-1		
512	74363	0				0	1			1	
512	74716	0				0	1				
240	75069	0				0	1			1	
240	75422	0				0	1				
128	75775	0				0	1			1	
0	76128	0				0	1	7	1-1		
0	76304	0				0	1	7	1-1		
0	76481	0				0	1	7	1-1	1	
256	76834	0				0	1	7	1-1		
256	77010	0				0	1	7	1-1		
256	77187	0				0	1	7	1-1	1	
256	77540	0				0	1	7	1-1		
256	77893	0				0	1				
448	78598	0				0	1				
96	79304	0				0	1				
256	80010	0				0	1				
352	80716	0				0	1				
352	81069	0	S			0	1				
