音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
256	37369	0				0	1	3			1	
256	37820	0				0	1	7	2-1			
192	38272	0				0	1	5				
192	38497	0				0	1	5				
192	38723	0				0	1	5				
256	39174	0				0	1	7	2-1			
256	39399	0				0	1					
256	39625	0				0	1					
512	40076	0				0	1	7	0-2			
256	40978	0				0	1	7	2-1		1	
256	41429	0				0	1					
256	41881	0				0	1					
384	42332	0				0	1					
128	42783	0				0	1					
128	43008	0				0	1					
256	43234	0				0	1	7	2-1			
256	43460	0				0	1					
256	43685	0				0	1					
512	44136	0				0	1	7	0-2			
256	44587	0				0	1	3			1	
256	45039	0				0	1	7	2-1			
128	45490	0				0	1					
256	45941	0				0	1	7	2-1			
128	46392	0				0	1					
256	46843	0				0	1	7	2-1			
256	47069	0				0	1					
256	47294	0				0	1					
512	47745	0				0	1	7	0-2			
512	47971	0				0	1					
512	48196	0	S			0	1					
256	48648	0				0	1	7	2-1			
0	49099	0				0	1	7	1-2			
256	49550	0				0	1	7	2-1			
512	50001	0				0	1	7	0-2			
256	50903	0				0	1	7	2-1			
0	51354	0				0	1	7	1-2			
256	51805	0				0	1	3			1	
512	52257	0				0	1	7	0-2			
256	52708	0				0	1	7	2-1			
256	52933	0				0	1					
0	53159	0				0	1	7	1-2			
0	53384	0				0	1					
0	53610	0				0	1					
256	54061	0				0	1	7	2-1			
256	54287	0				0	1					
256	54512	0				0	1					
256	54738	0				0	1					
256	54963	0				0	1					
256	55189	0				0	1					
256	55414	0				0	1					
320	55866	0				0	1					
320	56091	0				0	1					
256	56317	0				0	1					
256	56542	0				0	1					
320	56768	0				0	1	5				
320	56993	0				0	1	5				
320	57219	0				0	1	5				
256	57670	0				0	1	7	2-1			
512	58121	0				0	1	7	0-2			
256	58572	0				0	1	7	2-1			
0	59023	0				0	1	7	1-2		1	
0	59249	0				0	1					
0	59475	0				0	1					
256	59926	0				0	1	7	2-1			
256	60151	0				0	1					
256	60377	0				0	1					
512	60828	0				0	1	1				
512	61730	0				0	1					
512	61956	0				0	1					
512	62181	0				0	1					
512	62407	0				0	1					
256	62633	0				0	1	7	2-1			
256	63084	0				0	1					
0	63535	0				0	1	7	1-2			
0	63760	0				0	1					
0	63986	0				0	1					
0	64211	0				0	1					
192	64437	0				0	1	5				
192	64663	0				0	1	5				
192	64888	0				0	1	5				
192	65114	0				0	1	5				
192	65339	0				0	1	5				
256	65790	0				0	1	7	2-1			
256	66242	0				0	1	3			1	
256	66693	0				0	1	7	2-1			
0	67144	0				0	1	7	1-2			
256	67595	0				0	1	7	2-1			
512	68046	0				0	1	7	0-2			
256	68948	0				0	1	7	2-1			
512	69399	0				0	1	7	0-2			
256	69851	0				0	1	7	2-1			
256	70076	0				0	1					
256	70302	0				0	1					
256	70753	0				0	1					
256	70978	0				0	1					
256	71204	0				0	1					
256	71429	0				0	1					
256	71655	0				0	1					
128	72106	0				0	1					
0	72557	0				0	1	7	1-2			
0	73008	0	S			0	1					
