音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
128	44772	0				0	1					
128	45008	0				0	1					
128	45245	0				0	1					
256	45481	0				0	1				1	
256	45717	0				0	1					
384	45953	0				0	1					
384	46190	0				0	1					
384	46426	0				0	1					
256	46898	0				0	1					
256	47134	0				0	1					
0	47371	0				0	1	7	1-2		1	
0	47607	0				0	1	7	1-2			
0	47843	0				0	1	7	1-2			
256	48079	0				0	1	7	0-1			
256	48316	0				0	1	7	0-1			
384	48788	0				0	1	5				
384	49024	0				0	1	5				
384	49260	0				0	1	5			1	
384	49497	0				0	1	5				
384	49733	0				0	1	5				
384	49969	0				0	1	5				
128	50205	0				0	1	5			1	
128	50442	0				0	1	5				
128	50678	0				0	1	5				
128	50914	0				0	1	5				
256	51150	0				0	1	5			1	
256	51386	0				0	1					
256	51623	0				0	1					
256	51859	0				0	1					
256	52095	0				0	1	1				
384	53040	0	S			0	1					
384	53394	0				0	1					
128	53749	0				0	1	7	1-1			
128	53985	0				0	1	7	1-1			
128	54221	0				0	1	7	1-1			
128	54457	0				0	1	7	1-1			
128	54693	0				0	1	7	1-1			
384	55166	0				0	1	7	0-1			
384	55402	0				0	1	7	0-1			
384	55638	0				0	1	7	0-1			
384	55875	0				0	1	7	0-1			
384	56111	0				0	1	7	0-1			
256	56583	0				0	1					
256	56819	0				0	1					
128	57056	0				0	1					
128	57292	0				0	1					
0	57528	0				0	1					
0	57764	0				0	1					
256	58001	0				0	1	7	0-1			
256	58237	0				0	1					
384	58473	0				0	1					
384	58945	0				0	1					
384	59182	0				0	1					
384	59418	0				0	1					
384	59654	0				0	1					
384	59890	0				0	1					
256	60599	0				0	1				1	
0	61544	0				0	1				1	
256	62489	0				0	1	4			1	
512	63434	0				0	1				1	
256	64379	0				0	1	4			1	
0	65323	0				0	1	1			1	
176	66268	0				0	1					
176	66741	0				0	1					
328	67213	0				0	1					
328	67686	0				0	1					
256	68158	0				0	1	3			1	
256	68630	0				0	1					
256	69103	0				0	1				1	
384	69575	0				0	1	5				
384	69812	0				0	1	5				
128	70284	0				0	1					
128	70520	0				0	1					
128	70756	0				0	1					
128	70993	0				0	1					
0	71465	0				0	1	5				
0	71701	0				0	1	5				
0	71938	0				0	1				1	
128	72410	0				0	1					
256	72882	0				0	1				1	
256	73355	0				0	1					
256	73591	0				0	1					
384	74064	0				0	1	5				
384	74300	0				0	1	5				
384	74536	0				0	1	5				
384	74772	0				0	1	5				
512	75245	0				0	1				1	
512	75481	0				0	1				1	
256	75717	0				0	1	7	1-1		1	
128	76190	0				0	1					
0	76662	0				0	1				1	
128	77134	0				0	1					
128	77371	0				0	1					
256	77843	0				0	1					
256	78079	0				0	1					
256	78316	0				0	1					
256	78552	0				0	1					
384	79024	0				0	1					
384	79260	0				0	1					
512	79497	0				0	1				1	
384	79969	0				0	1					
256	80442	0				0	1				1	
128	80914	0				0	1	5				
128	81150	0				0	1	5				
176	81623	0				0	1					
176	81859	0				0	1					
176	82095	0				0	1					
176	82331	0				0	1					
256	82804	0				0	1					
256	83040	0	S			0	1					
