音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式	
2	1101	53705	0	0		0	
4	1101	53919	0	0		0	
3	1201	54134	54776	0		0	
1	1101	54776	0	0		0	
3	1101	54991	0	0		0	
2	1101	55205	0	0		0	
3	1101	55419	0	0		0	
1	1101	55634	0	0		0	
4	1201	55848	56491	0		0	
1	1101	56491	0	0		0	
3	1101	56705	0	0		0	
2	1101	56919	0	0		0	
4	1101	57134	0	0		0	
1	1101	57348	0	0		0	
3	1201	57562	57884	0		0	
4	1201	57884	58205	0		0	
1	1101	58205	0	0		0	
2	1101	58419	0	0		0	
3	1101	58634	0	0		0	
1	1101	58848	0	0		0	
3	1101	59062	0	0		0	
2	1201	59276	59919	0		0	
1	1101	59919	0	0		0	
3	1101	60134	0	0		0	
2	1101	60348	0	0		0	
4	1101	60562	0	0		0	
2	1101	60776	0	0		0	
1	1101	60991	0	0		0	
3	1101	60991	0	0		0	
2	1101	61205	0	0		0	
1	1101	61419	0	0		0	
3	1101	61419	0	0		0	
2	1101	61634	0	0		0	
1	1101	61848	0	0		0	
3	1101	61848	0	0		0	
2	1101	62062	0	0		0	
4	1101	62276	0	0		0	
3	1201	62491	63134	0		0	
