音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式	中间轨道	中间时间
4	1101	27948	0	0		0		
2	1101	28194	0	0		0		
4	1301	28439	29423	0		0	3	29177
4	1101	29423	0	0		0			
1	1101	29915	0	0		0		
3	1101	29915	0	0		0		
4	1101	30161	0	0		0		
2	1101	30407	0	0		0		
1	1101	30653	0	0		0		
3	1101	30898	0	0		0		
2	1101	31144	0	0		0		
4	1101	31390	0	0		0		
2	1101	31636	0	0		0		
3	1201	31882	32374	0		0		
1	1201	32374	32866	0		0		
3	1201	32866	33358	0		0		
2	1101	33358	0	0	3	0		
4	1101	33358	0	0	3	0		
3	1101	33849	0	0		0		
2	1101	34095	0	0		0		
4	1201	34341	34833	0		0		
2	1101	34833	0	0		0		
1	1201	35079	35817	0		0		
2	1101	35817	0	0		0		
4	1101	36062	0	0		0		
1	1101	36308	0	0		0		
3	1101	36554	0	0		0		
2	1101	36800	0	0		0		
4	1201	37046	37784	0		0		
2	1101	37784	0	0		0		
4	1101	38276	0	0		0		
2	1101	38767	0	0		0		
3	1201	39013	39505	0		0		
2	1201	39505	39997	0		0		
1	1201	39997	40489	0		0		
4	1101	40489	0	0		0		
3	1101	40735	0	0		0		
2	1101	40980	0	0		0		
1	1101	41226	0	0		0		
3	1101	41226	0	0		0		
2	1101	41718	0	0		0		
1	1101	41964	0	0		0		
4	1201	42210	42702	0		0		
2	1101	42702	0	0		0		
3	1201	42948	43439	0		0		
4	1101	43439	0	0		0		
1	1101	43685	0	0		0		
4	1101	43931	0	0		0		
3	1201	44177	44669	0		0		
1	1101	44669	0	0		0		
3	1201	44915	46144	0		0		
2	1101	46144	0	0		0		
4	1101	46144	0	0		0		
1	1101	46636	0	0		0		
3	1101	46636	0	0		0		
4	1101	47128	0	0		0		
2	1101	47128	0	0		0		
3	1101	47620	0	0		0		
2	1201	48112	49095	0		0		
4	1201	48112	49095	0		0		
1	1101	49095	0	0	1	0		
3	1101	49095	0	0	1	0		
2	1101	49587	0	0		0		
3	1101	49833	0	0		0		
2	1101	50079	0	0		0		
4	1101	50571	0	0		0		
1	1101	50817	0	0		0		
4	1101	51062	0	0		0		
1	1101	51308	0	0		0		
4	1101	51554	0	0		0		
1	1101	51800	0	0		0		
4	1101	52046	0	0		0		
3	1101	52538	0	0		0		
2	1101	52784	0	0		0		
1	1301	53030	54505	0		0	2,3	53767,54259
4	1101	54505	0	0		0		
3	1101	54751	0	0		0		
2	1101	54997	0	0		0		
4	1101	54997	0	0		0		
3	1101	55243	0	0		0		
2	1101	55489	0	0		0		
3	1101	55980	0	0		0		
2	1101	56472	0	0		0		
1	1101	56964	0	0		0		
3	1101	56964	0	0		0		
2	1101	57456	0	0		0		
3	1101	57702	0	0		0		
2	1101	57948	0	0		0		
4	1101	58439	0	0		0		
1	1101	58685	0	0		0		
4	1101	58931	0	0		0		
1	1101	59177	0	0		0		
4	1101	59423	0	0		0		
1	1101	59669	0	0		0		
4	1101	59915	0	0		0		
2	1101	60407	0	0		0		
3	1101	60653	0	0		0		
4	1301	60898	62374	0		0	3,2	61636,62128
1	1101	62374	0	0		0		
2	1101	62866	0	0		0		
4	1101	62866	0	0		0		
3	1101	63358	0	0		0		
4	1201	63849	64833	0		0		
2	1201	63849	64833	0		0		
1	1101	64833	0	0	2	0		
3	1101	64833	0	0	2	0		
2	1101	65325	0	0		0		
4	1101	65817	0	0		0		
2	1101	66062	0	0		0		
3	1101	66308	0	0		0		
1	1101	66554	0	0		0		
3	1101	66800	0	0		0		
2	1101	67292	0	0		0		
4	1101	67292	0	0		0		
3	1101	67784	0	0		0		
1	1101	68276	0	0		0		
2	1201	68521	69259	0		0		
4	1101	69259	0	0		0		
3	1101	69751	0	0		0		
1	1101	69751	0	0		0		
2	1101	70243	0	0		0		
4	1101	70735	0	0		0		
2	1101	71226	0	0		0		
4	1101	71718	0	0		0		
2	1101	72210	0	0		0		
4	1101	72702	0	0		0		
